ksrid lea,agency name,site url,webarchive_url,lea-qid,reference,city,city-qid,latlon,street address,county,county-qid,zip code,lea type
SB978-735,Lathrop Police Department,https://www.ci.lathrop.ca.us/police,https://web.archive.org/web/20200821064557/https://www.ci.lathrop.ca.us/police,Q120751579,,Lathrop,Q986862,"37.80439,-121.3026","940 River Islands Parkway Lathrop , CA 95330",San Joaquin County,Q108499,95330,Police
SB978-737,Mariposa County Sheriff's Department,https://www.mariposacounty.org/82/Sheriffs-Office,https://web.archive.org/web/20181016200145/http://www.mariposacounty.org/82/Sheriffs-Office,Q120751580,,Mariposa,Q2396842,"37.48411,-119.9647","5099 Old Highway Road
Mariposa, CA 95338",Mariposa County,Q156191,95338,Sheriff
SB978-738,Montebello Police Department,https://www.montebello.k12.ca.us/apps/pages/index.jsp?uREC_ID=2210591&type=d&pREC_ID=2195302,https://web.archive.org/web/20210802232458/https://www.montebello.k12.ca.us/apps/pages/index.jsp?uREC_ID=2210591&type=d&pREC_ID=2195302,Q120751581,,Montebello,Q664503,"34.01958,-118.1164","1600 W Beverly Blvd, Montebello, CA 90640",Los Angeles County,Q104994,90640,College/University
SB978-740,Oakland City Housing Authority Police Department,http://www.ohapd.org/,https://web.archive.org/web/20071209194209/http://www.ohapd.org/,Q120751582,,Oakland,Q17042,"37.80508,-122.2731","2525 E. 12th Street Oakland, CA 94601",Alameda County,Q107146,94601,Public Safety
SB978-741,Oakley Police Department,https://www.ci.oakley.ca.us/departments/police/,https://web.archive.org/web/20160117184128/http://www.ci.oakley.ca.us/departments/police/,Q120751583,,Oakley,Q950912,"37.99638,-121.713","3231 Main St, Oakley, CA 94561",Contra Costa County,Q108058,94561,Police
SB978-745,Port San Luis Harbor District Harbor Patrol Department,https://www.portsanluis.com/,https://web.archive.org/web/19981201065449/http://portsanluis.com/,Q120751584,,Avila Beach,Q3477456,"35.17931,-120.7354",,San Luis Obispo County,Q49014,,Police
SB978-747,Salinas Police Department,http://www.salinaspd.com/,https://web.archive.org/web/19961230215006/http://salinaspd.com/,Q120751585,,Salinas,Q488125,"36.67087,-121.6548",312 E Alisal St Salinas CA 93901,Monterey County,Q108072,93901,Police
SB978-748,San Bernardino Community College District Police Department,https://sbccd.edu/district-services/police-department/index.php,https://web.archive.org/web/20210413073004/https://sbccd.edu/district-services/police-department/index.php,Q120751586,,San Bernardino,Q486168,"34.1,-117.3","Campus Center, 701 S Mt Vernon Ave, San Bernardino, CA 92410",San Bernardino County,Q108053,92410,College/University
SB978-749,San Bernardino Unified School District Police Department,https://www.sbcusd.com/departments/district-police,https://web.archive.org/web/20230403194541/http://www.sbcusd.com/departments/district-police,Q120751588,,San Bernardino,Q486168,"34.1,-117.3","536 W. Baseline Street San Bernardino, CA 92410",San Bernardino County,Q108053,92410,School District
SB978-750,San Carlos Police Department,https://www.smcsheriff.com/patrol-services/san-carlos-police-bureau,https://web.archive.org/web/20171027163848/http://www.smcsheriff.com/patrol-services/san-carlos-police-bureau,Q120751291,,San Carlos,Q383234,"37.50494,-122.2628","600 Elm Street San Carlos, CA 94070",San Mateo County,Q108101,94070,Police
SB978-751,San Diego Community College District Police Department,https://www.sdccd.edu/about/departments-and-offices/police-department/,https://web.archive.org/web/20191015160516/https://www.sdccd.edu/about/departments-and-offices/police-department/,Q120751589,,San Diego,Q16552,"32.71568,-117.1617","1536 Frazee Rd, San Diego, CA 92108",San Diego County,Q108143,92108,College/University
SB978-752,San Francisco Community College District Police Department,https://www.ccsf.edu/campus-police,https://web.archive.org/web/20200807130959/https://www.ccsf.edu/campus-police,Q120751590,,San Francisco,Q62,"37.7557,-122.4428",,San Francisco,Q62,,College/University
SB978-754,San José Evergreen Community College District Police Department,http://www.sjeccd.edu/district-services/district-police,https://web.archive.org/web/20140320103609/http://www.sjeccd.edu/district-services/district-police,Q120751591,,San Jose,Q16553,"37.33865,-121.8854","40 S. Market Street, San Jose, CA 95113",Santa Clara County,Q110739,95113,College/University
SB978-756,Solano Community College District Department of Public Safety,http://www.solano.edu/police/,https://web.archive.org/web/20120812084048/http://www.solano.edu/police/,Q120751592,,Phelan,Q3470873,"34.42605,-117.5725",,San Bernardino County,Q108053,,College/University
SB978-757,Stallion Springs Police Department,https://www.stallionspringscsd.com/police-department-ec708c6,,Q120751593,,Stallion Springs,Q651945,"35.08237,-118.6362","27800 Stallion Springs Drive, Stallion Springs CA 93561",Kern County,Q108047,93561,Police
SB978-758,State Center Community College District Police Department,https://www.scccd.edu/departments/police/index.html,https://web.archive.org/web/20210801094142/https://www.scccd.edu/departments/police/index.html,Q120751594,,Fresno,Q43301,"36.74084,-119.7855","1940 N Calaveras St, Fresno, CA 93704",Fresno County,Q271915,93704,College/University
SB978-759,Susanville Police Department,http://www.cityofsusanville.net/rooptown/police-department/,https://web.archive.org/web/20201016180315/http://www.cityofsusanville.net/rooptown/police-department/,Q120751595,,Susanville,Q629584,"40.4157,-120.6498","1801 Main Street Susanville, CA 96130",Lassen County,Q156340,96130,Police
SB978-760,Sutter Creek Police Department,https://cityofsuttercreek.org/sutter-creek-police-department/,https://web.archive.org/web/20160523124525/http://cityofsuttercreek.org/sutter-creek-police-department/,Q120751596,,Sutter Creek,Q1257603,"38.39341,-120.803","18 Main Street
Sutter Creek, CA 95685",Amador County,Q156177,95685,Police
SB978-761,Tulare County Probation Department,http://tularecounty.ca.gov/probation/,https://web.archive.org/web/20130312101605/http://www.tularecounty.ca.gov/probation/,Q120751597,,Visalia,Q495373,"36.33377,-119.2926","3241 West Noble Avenue
Visalia, California 93277",Tulare County,Q109686,93277,Probation
SB978-762,Tulelake Police Department,http://www.cityoftulelake.com/departments/police-department,https://web.archive.org/web/20170209025219/http://www.cityoftulelake.com/departments/police-department,Q120751598,,Tulelake,Q2453325,"41.95422,-121.4767","470 C St, Tulelake, CA 96134",Siskiyou County,Q156374,96134,Police
SB978-766,Val Verde Unified School District Police Department,https://police-department-valverde.schoolblocks.com/en-US,https://web.archive.org/web/20230418010717/https://police-department-valverde.schoolblocks.com/en-US,Q113181325,,Perris,Q983609,"33.78241,-117.2283","975 Morgan St, Perris, CA 92571",Riverside County,Q108111,92571,School District
SB978-769,Yuba Community College District Police Department,https://yc.yccd.edu/campus/safety/,https://web.archive.org/web/20220817013956/https://yc.yccd.edu/campus/safety/,Q120751599,,Yuba City,Q169948,"39.14094,-121.6198","2088 North Beale Road – Building 1600, Marysville, CA 95901",Sutter County,Q156377,95901,College/University
SB978-001,Alameda County District Attorney,https://www.alcoda.org,https://web.archive.org/web/20080514035529/http://www.alcoda.org/,Q113181124,,Oakland,Q17042,"37.80508,-122.2731","1225 Fallon Street, Suite 900
Oakland, CA 94612",Alameda County,Q107146,94612,District Attorney
SB978-002,Alameda County Sheriff's Office,https://www.alamedacountysheriff.org,https://web.archive.org/web/20021201135745/http://alamedacountysheriff.org/,Q4705866,,Oakland,Q17042,"37.80508,-122.2731","1401 Lakeside Drive, 12th Floor
Oakland, CA 94612-4305",Alameda County,Q107146,94612-4305,Sheriff
SB978-003,Alameda Police Department,https://www.alamedaca.gov,https://web.archive.org/web/20130218090425/http://alamedaca.gov/,Q113181126,,Alameda,Q490744,"37.76707,-122.2458",1555 Oak Street Alameda 94501,Alameda County,Q107146,94501,Police
SB978-004,Albany Police Department,https://www.albanyca.org/departments/police-department,https://web.archive.org/web/20170620162206/http://www.albanyca.org/departments/police-department,Q4709366,,Albany,Q671480,"37.88769,-122.2981","1000 San Pablo Ave.
Albany, CA 94706",Contra Costa County,Q108058,94706,Police
SB978-005,Alhambra Police Department,https://www.cityofalhambra.org/231/Police-Department,https://web.archive.org/web/20210921132304/https://cityofalhambra.org/231/Police-Department,Q113181128,,Alhambra,Q752681,"34.09442,-118.1278","211 S 1st Street
Alhambra, CA 91801",Los Angeles County,Q104994,91801,Police
SB978-008,Alpine County Sheriff's Department,https://www.alpinecountyca.gov/204/Sheriff,https://web.archive.org/web/20201030070604/http://www.alpinecountyca.gov/204/Sheriff,Q113181131,,Markleeville,Q1019532,"38.69459,-119.78","PO Box 278
Markleeville, CA 96120",Alpine County,Q108077,96120,Sheriff
SB978-009,Alturas Police Department,http://www.cityofalturas.us/departments/public_safety/index.php,https://web.archive.org/web/20170606162441/http://www.cityofalturas.us/departments/public_safety/index.php,Q113181132,,Alturas,Q446281,"41.49432,-120.5426","200 W. North Street Alturas, CA. 96101",Modoc County,Q109695,96101,Police
SB978-011,Amador County Sheriff's Department,https://www.amadorsheriff.org,https://web.archive.org/web/20101208233045/http://www.amadorsheriff.org/,Q120751294,,Jackson,Q1966879,"38.34712,-120.7734","700 Court Street Jackson, CA 95642",Amador County,Q156177,95642,Sheriff
SB978-012,American River College Police Department,https://police.losrios.edu,https://web.archive.org/web/20110504130710/http://police.losrios.edu/,Q120751295,Los Rios Community College District Police Department,Sacramento,Q18013,"38.57944,-121.4908","1410 Ethan Way, Sacramento, CA 95825",Sacramento County,Q108131,95825,College/University
SB978-014,Anaheim Police Department,https://www.anaheim.net/178/About,https://web.archive.org/web/20210923235005/https://anaheim.net/178/About,Q4750889,,Anaheim,Q49247,"33.83286,-117.9152","425 S. Harbor Blvd.
Anaheim, CA 92805",Orange County,Q5925,92805,Police
SB978-015,Anderson Police Department,https://www.andersonpolice.org,https://web.archive.org/web/20170710021335/http://www.andersonpolice.org/,Q120751296,,Anderson,Q491469,"40.45056,-122.3012","2220 North Street
Anderson, CA 96007",Shasta County,Q156350,96007,Police
SB978-016,Angels Camp Police Department,https://angelscamp.gov/police/,https://web.archive.org/web/20161115132512/http://angelscamp.gov/police/,Q120751297,,Angels Camp,Q2603725,"38.07009,-120.5408","200 Monte Verda St, Angels Camp, CA 95222",Calaveras County,Q271613,95222,Police
